#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             LocalECP            NonLocalECP         ElecElec            IonIon              BlockWeight         BlockCPU            AcceptRatio         
        35   -1.0318441553e+01    1.0679174578e+02   -2.0906960060e+01    1.0588518507e+01   -6.0879291410e+00    4.5168140589e-01   -2.4950449011e+00   -1.2775667423e+01    1.4000000000e+02    3.0430000000e-03    7.5491071429e-01
        36   -1.0546450143e+01    1.1154365514e+02   -2.1241741494e+01    1.0695291351e+01   -6.5439717919e+00    8.0733954485e-01   -2.7294418239e+00   -1.2775667423e+01    1.4000000000e+02    3.1330000000e-03    7.5357142857e-01
        37   -1.0602636168e+01    1.1273956663e+02   -2.1557189784e+01    1.0954553616e+01   -7.3587601077e+00    6.0590165543e-01   -2.0286639084e+00   -1.2775667423e+01    1.4000000000e+02    3.0410000000e-03    7.4910714286e-01
        38   -1.0457479363e+01    1.0971998421e+02   -2.1563569994e+01    1.1106090631e+01   -6.8938586465e+00    8.6275850570e-01   -2.7568024296e+00   -1.2775667423e+01    1.4000000000e+02    2.9920000000e-03    7.6830357143e-01
        39   -1.0511378654e+01    1.1080716416e+02   -2.0894667576e+01    1.0383288922e+01   -5.6446715695e+00    3.5313408614e-01   -2.8274626698e+00   -1.2775667423e+01    1.4000000000e+02    3.1490000000e-03    7.6383928571e-01
        40   -1.0514895673e+01    1.1082659935e+02   -2.1369116611e+01    1.0854220938e+01   -6.6211915933e+00    6.6928900269e-01   -2.6415465968e+00   -1.2775667423e+01    1.4000000000e+02    3.1180000000e-03    7.8125000000e-01
        41   -1.0481718695e+01    1.1016799924e+02   -2.1448207965e+01    1.0966489270e+01   -6.8172465590e+00    7.5289307533e-01   -2.6081870585e+00   -1.2775667423e+01    1.4000000000e+02    3.1350000000e-03    7.4821428571e-01
        42   -1.0517192344e+01    1.1083332411e+02   -2.2199995833e+01    1.1682803489e+01   -7.3302017437e+00    7.0236182042e-01   -2.7964884860e+00   -1.2775667423e+01    1.4000000000e+02    3.1260000000e-03    7.6785714286e-01
        43   -1.0551356405e+01    1.1167434407e+02   -2.2135450744e+01    1.1584094339e+01   -7.0290830710e+00    5.4552430570e-01   -2.8762245554e+00   -1.2775667423e+01    1.4000000000e+02    2.9870000000e-03    7.6517857143e-01
        44   -1.0452550148e+01    1.0958184569e+02   -2.1792890116e+01    1.1340339968e+01   -6.6570361529e+00    4.4493041466e-01   -2.8051169543e+00   -1.2775667423e+01    1.4000000000e+02    2.9780000000e-03    7.8169642857e-01
        45   -1.0545896229e+01    1.1151483028e+02   -2.1510799049e+01    1.0964902820e+01   -6.7828125041e+00    6.8042185355e-01   -2.6327409751e+00   -1.2775667423e+01    1.4000000000e+02    2.9260000000e-03    7.7767857143e-01
        46   -1.0546809952e+01    1.1158334056e+02   -2.2025609971e+01    1.1478800019e+01   -7.3082430240e+00    5.8130153816e-01   -2.5230010616e+00   -1.2775667423e+01    1.4000000000e+02    3.3000000000e-03    7.5357142857e-01
        47   -1.0485417734e+01    1.1022469185e+02   -2.2169188671e+01    1.1683770937e+01   -6.9952519416e+00    3.5355598853e-01   -2.7518252946e+00   -1.2775667423e+01    1.4000000000e+02    3.1460000000e-03    7.5714285714e-01
        48   -1.0609979116e+01    1.1315692073e+02   -2.1710972450e+01    1.1100993335e+01   -7.3043655121e+00    9.7013424873e-01   -2.6010737637e+00   -1.2775667423e+01    1.4000000000e+02    2.9110000000e-03    7.6294642857e-01
        49   -1.0431505464e+01    1.0917474178e+02   -2.2361494896e+01    1.1929989431e+01   -7.3890552373e+00    5.4439753927e-01   -2.7411697743e+00   -1.2775667423e+01    1.4000000000e+02    3.1950000000e-03    7.4642857143e-01
        50   -1.0407935482e+01    1.0863979423e+02   -2.1679525618e+01    1.1271590136e+01   -6.8406149818e+00    7.7468314138e-01   -2.8379263541e+00   -1.2775667423e+01    1.4000000000e+02    4.3130000000e-03    7.5625000000e-01
        51   -1.0525788168e+01    1.1121756158e+02   -2.1941107825e+01    1.1415319657e+01   -7.0192038574e+00    6.9934255857e-01   -2.8455791029e+00   -1.2775667423e+01    1.4000000000e+02    4.7690000000e-03    7.7053571429e-01
        52   -1.0526493203e+01    1.1116456946e+02   -2.1523678788e+01    1.0997185585e+01   -6.7950909611e+00    6.9687972439e-01   -2.6498001278e+00   -1.2775667423e+01    1.4000000000e+02    3.2110000000e-03    7.6383928571e-01
        53   -1.0506292286e+01    1.1070082762e+02   -2.2072436316e+01    1.1566144030e+01   -7.5762506355e+00    8.0654156497e-01   -2.5270598226e+00   -1.2775667423e+01    1.4000000000e+02    3.2270000000e-03    7.6562500000e-01
        54   -1.0453341184e+01    1.0959126668e+02   -2.2068779889e+01    1.1615438704e+01   -7.1119712052e+00    2.7596527753e-01   -2.4571065378e+00   -1.2775667423e+01    1.4000000000e+02    3.8430000000e-03    7.7589285714e-01
        55   -1.0570893778e+01    1.1207268247e+02   -2.1706053768e+01    1.1135159990e+01   -7.1062908952e+00    8.2991062638e-01   -2.6540060761e+00   -1.2775667423e+01    1.4000000000e+02    3.4030000000e-03    7.6383928571e-01
        56   -1.0557822806e+01    1.1178052019e+02   -2.1947032891e+01    1.1389210084e+01   -7.1810827535e+00    6.8512841305e-01   -2.6754111268e+00   -1.2775667423e+01    1.4000000000e+02    3.2060000000e-03    7.7187500000e-01
        57   -1.0564097982e+01    1.1186632451e+02   -2.2996431981e+01    1.2432333999e+01   -7.9320265457e+00    4.0240020743e-01   -2.6911382198e+00   -1.2775667423e+01    1.4000000000e+02    3.0170000000e-03    7.4821428571e-01
        58   -1.0526624428e+01    1.1108902012e+02   -2.1580705928e+01    1.1054081500e+01   -6.5429688177e+00    5.0397618227e-01   -2.7660458692e+00   -1.2775667423e+01    1.4000000000e+02    3.2840000000e-03    7.6562500000e-01
        59   -1.0459930380e+01    1.0995005026e+02   -2.0845914400e+01    1.0385984020e+01   -5.7642011094e+00    4.3925628777e-01   -2.7453021552e+00   -1.2775667423e+01    1.4000000000e+02    2.8850000000e-03    7.7901785714e-01
        60   -1.0478747686e+01    1.1014487169e+02   -2.1918131678e+01    1.1439383993e+01   -7.1487520582e+00    7.7988366414e-01   -2.7735958610e+00   -1.2775667423e+01    1.4000000000e+02    3.0740000000e-03    7.5758928571e-01
        61   -1.0514573294e+01    1.1096937318e+02   -2.2142550960e+01    1.1627977666e+01   -7.5906316195e+00    8.4155877976e-01   -2.6178106969e+00   -1.2775667423e+01    1.4000000000e+02    3.1230000000e-03    7.6250000000e-01
