#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonElec             IonIon              BlockWeight         BlockCPU            AcceptRatio         
        47   -2.0961502061e+00    4.5380088902e+00   -4.2372356323e+00    2.1410854262e+00    1.8986448903e+00   -8.0078951172e+00    1.8720145947e+00    1.4000000000e+03    1.0544000000e-02    9.8714285714e-01
        48   -2.1041731903e+00    4.5798422386e+00   -3.9631386135e+00    1.8589654232e+00    1.8810481822e+00   -7.7162013904e+00    1.8720145947e+00    1.4000000000e+03    1.0215000000e-02    9.8928571429e-01
        49   -2.1023110402e+00    4.5481208051e+00   -4.2443993763e+00    2.1420883361e+00    1.8047048623e+00   -7.9211188333e+00    1.8720145947e+00    1.4000000000e+03    1.0437000000e-02    9.8857142857e-01
        50   -2.1553629659e+00    4.7846148890e+00   -4.3078155287e+00    2.1524525628e+00    1.8363449714e+00   -8.0161750947e+00    1.8720145947e+00    1.4000000000e+03    1.0360000000e-02    9.8517857143e-01
        51   -2.1370497402e+00    4.7159140159e+00   -4.4193611155e+00    2.2823113752e+00    1.9392066736e+00   -8.2305823837e+00    1.8720145947e+00    1.4000000000e+03    1.0491000000e-02    9.8910714286e-01
        52   -2.1341260428e+00    4.7509057421e+00   -4.2916139816e+00    2.1574879388e+00    1.8371247024e+00   -8.0007532787e+00    1.8720145947e+00    1.4000000000e+03    1.0338000000e-02    9.8535714286e-01
        53   -2.0688661481e+00    4.3940846796e+00   -3.9972717335e+00    1.9284055854e+00    1.7817801113e+00   -7.6510664395e+00    1.8720145947e+00    1.4000000000e+03    1.0519000000e-02    9.8625000000e-01
        54   -2.1013592993e+00    4.5294438482e+00   -4.2859329002e+00    2.1845736008e+00    1.6609309410e+00   -7.8188784358e+00    1.8720145947e+00    1.4000000000e+03    1.0448000000e-02    9.8928571429e-01
        55   -2.1724294317e+00    4.8734579885e+00   -4.4064936595e+00    2.2340642277e+00    1.8400469999e+00   -8.1185552541e+00    1.8720145947e+00    1.4000000000e+03    1.0408000000e-02    9.8892857143e-01
        56   -2.1957971275e+00    4.9793199345e+00   -4.1924578007e+00    1.9966606732e+00    1.7833122284e+00   -7.8477846238e+00    1.8720145947e+00    1.4000000000e+03    1.0351000000e-02    9.9035714286e-01
        57   -2.1915154379e+00    4.9771823080e+00   -4.1383116683e+00    1.9467962304e+00    1.8044706770e+00   -7.8147969400e+00    1.8720145947e+00    1.4000000000e+03    1.0387000000e-02    9.8642857143e-01
