#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             LocalECP            NonLocalECP         ElecElec            IonIon              BlockWeight         BlockCPU            AcceptRatio         
        33   -1.0484585988e+01    1.1023894124e+02   -2.1960831771e+01    1.1476245783e+01   -6.9182048201e+00    6.4777268095e-01   -2.9147322081e+00   -1.2775667423e+01    1.2826893932e+03    1.5402000000e-02    9.9756430242e-01
        34   -1.0536631403e+01    1.1142610724e+02   -2.2644319895e+01    1.2107688492e+01   -7.9071714381e+00    7.2378348198e-01   -2.6852645151e+00   -1.2775667423e+01    1.2740995437e+03    1.4976000000e-02    9.9852825746e-01
        35   -1.0549395254e+01    1.1162772812e+02   -2.2522401413e+01    1.1973006160e+01   -7.7800878827e+00    8.2289571280e-01   -2.7895418202e+00   -1.2775667423e+01    1.2930583348e+03    1.4907000000e-02    9.9748646558e-01
        36   -1.0515935986e+01    1.1099895862e+02   -2.2694303227e+01    1.2178367241e+01   -7.4000618823e+00    1.9389837315e-01   -2.7124722944e+00   -1.2775667423e+01    1.2540604616e+03    1.5581000000e-02    9.9860446571e-01
        37   -1.0540670995e+01    1.1144512148e+02   -2.2052089275e+01    1.1511418280e+01   -7.1480672840e+00    3.8328736417e-01   -2.5116419315e+00   -1.2775667423e+01    1.2601757918e+03    1.4983000000e-02    9.9861111111e-01
        38   -1.0571890360e+01    1.1203608953e+02   -2.2159567636e+01    1.1587677276e+01   -7.3530431902e+00    6.2930514732e-01   -2.6601621697e+00   -1.2775667423e+01    1.2713258784e+03    1.5741000000e-02    9.9813139260e-01
        39   -1.0508058327e+01    1.1075172835e+02   -2.2227863233e+01    1.1719804906e+01   -7.7421011042e+00    9.1510563523e-01   -2.6252003409e+00   -1.2775667423e+01    1.2321253008e+03    1.5288000000e-02    9.9817370130e-01
        40   -1.0422050670e+01    1.0908885202e+02   -2.2345646348e+01    1.1923595677e+01   -7.4514694290e+00    5.5689336727e-01   -2.6754028625e+00   -1.2775667423e+01    1.1957729241e+03    1.4730000000e-02    9.9676003344e-01
        41   -1.0542223644e+01    1.1150853189e+02   -2.1970244625e+01    1.1428020981e+01   -7.1669493343e+00    6.6236174845e-01   -2.6899896160e+00   -1.2775667423e+01    1.2044433058e+03    1.5288000000e-02    9.9844269103e-01
        42   -1.0502137279e+01    1.1066943981e+02   -2.1779279790e+01    1.1277142511e+01   -7.0753792137e+00    8.1409377507e-01   -2.7423269280e+00   -1.2775667423e+01    1.2151890810e+03    1.4750000000e-02    9.9825102881e-01
        43   -1.0508613699e+01    1.1087181648e+02   -2.1430494640e+01    1.0921880940e+01   -6.7383432356e+00    6.7856059260e-01   -2.5950445732e+00   -1.2775667423e+01    1.2002521213e+03    1.4523000000e-02    9.9802083333e-01
        44   -1.0547068066e+01    1.1173606770e+02   -2.1659842362e+01    1.1112774296e+01   -7.2822384746e+00    9.6918460730e-01   -2.5711210712e+00   -1.2775667423e+01    1.2104810643e+03    1.5074000000e-02    9.9659090909e-01
        45   -1.0507564163e+01    1.1075555362e+02   -2.1943800633e+01    1.1436236471e+01   -7.5245202876e+00    8.3524588668e-01   -2.4788588088e+00   -1.2775667423e+01    1.2440688594e+03    1.5081000000e-02    9.9738745981e-01
        46   -1.0434263494e+01    1.0914650351e+02   -2.1882499604e+01    1.1448236110e+01   -7.2969228980e+00    7.4423268378e-01   -2.5541419665e+00   -1.2775667423e+01    1.2356740818e+03    1.5232000000e-02    9.9797734628e-01
        47   -1.0448408644e+01    1.0950511261e+02   -2.1536469858e+01    1.1088061215e+01   -6.7307924625e+00    6.2238366677e-01   -2.6523936394e+00   -1.2775667423e+01    1.2287966625e+03    1.6226000000e-02    9.9776240846e-01
        48   -1.0466473075e+01    1.0998665429e+02   -2.1702297805e+01    1.1235824730e+01   -6.7314368288e+00    5.0494270095e-01   -2.7001362536e+00   -1.2775667423e+01    1.2219407269e+03    1.6636000000e-02    9.9795417349e-01
        49   -1.0502659492e+01    1.1079851894e+02   -2.1576464001e+01    1.1073804509e+01   -6.7428774102e+00    6.0873201483e-01   -2.6666511822e+00   -1.2775667423e+01    1.2430735109e+03    1.7049000000e-02    9.9748592116e-01
        50   -1.0527818649e+01    1.1115464986e+02   -2.2096673811e+01    1.1568855163e+01   -7.2922472626e+00    6.4973086058e-01   -2.6784899862e+00   -1.2775667423e+01    1.2352582111e+03    1.7340000000e-02    9.9726720648e-01
        51   -1.0564623728e+01    1.1198827670e+02   -2.1786274022e+01    1.1221650295e+01   -7.1326243833e+00    7.0359651467e-01   -2.5815787303e+00   -1.2775667423e+01    1.2225482322e+03    1.7545000000e-02    9.9774959083e-01
        52   -1.0510485023e+01    1.1073972431e+02   -2.2039341459e+01    1.1528856436e+01   -7.2494227352e+00    7.4942629744e-01   -2.7636775983e+00   -1.2775667423e+01    1.2142669335e+03    1.7207000000e-02    9.9794069193e-01
        53   -1.0498112511e+01    1.1043062141e+02   -2.2147557281e+01    1.1649444769e+01   -7.3585135357e+00    7.4176188914e-01   -2.7551382109e+00   -1.2775667423e+01    1.1952813594e+03    1.7185000000e-02    9.9843096234e-01
        54   -1.0524824464e+01    1.1110876629e+02   -2.2166067604e+01    1.1641243140e+01   -7.2153252880e+00    6.1531588370e-01   -2.7903907767e+00   -1.2775667423e+01    1.1954179224e+03    1.6536000000e-02    9.9707112971e-01
        55   -1.0573212321e+01    1.1219325238e+02   -2.2034086177e+01    1.1460873856e+01   -7.1021739975e+00    6.4054878750e-01   -2.7967935436e+00   -1.2775667423e+01    1.1817690895e+03    1.6493000000e-02    9.9820067739e-01
        56   -1.0547688442e+01    1.1153809058e+02   -2.2066515336e+01    1.1518826894e+01   -7.0749466687e+00    5.5910212605e-01   -2.7750033698e+00   -1.2775667423e+01    1.1856153538e+03    1.8245000000e-02    9.9767932489e-01
        57   -1.0575976446e+01    1.1215856840e+02   -2.1538021359e+01    1.0962044913e+01   -6.4292770795e+00    6.6685354406e-01   -2.9999304000e+00   -1.2775667423e+01    1.2066677572e+03    1.7317000000e-02    9.9761608624e-01
        58   -1.0593205912e+01    1.1249556925e+02   -2.1628515275e+01    1.1035309363e+01   -6.6158621517e+00    6.7118954446e-01   -2.9081752447e+00   -1.2775667423e+01    1.2316782548e+03    1.6520000000e-02    9.9878147847e-01
