# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
        46   -1.0452814323e+01    3.3362071086e-01    6.4039477674e+01    6.4000000000e+01    0.0000000000e+00   -1.0308230312e+01    9.9320042833e-01    1.0000000000e+00
        47   -1.0517250105e+01    4.3938268924e-01    6.3970640601e+01    6.4000000000e+01    0.0000000000e+00   -1.0576144021e+01    9.9297283519e-01    1.0000000000e+00
        48   -1.0518634820e+01    4.7563933951e-01    6.4029235928e+01    6.4000000000e+01    0.0000000000e+00   -1.0425480932e+01    9.9177180601e-01    1.0000000000e+00
        49   -1.0508936424e+01    3.0444933475e-01    6.3968991536e+01    6.4000000000e+01    0.0000000000e+00   -1.0609976232e+01    1.0000000000e+00    1.0000000000e+00
        50   -1.0458016489e+01    3.8739822757e-01    6.4022600184e+01    6.4000000000e+01    0.0000000000e+00   -1.0412011491e+01    9.9627271796e-01    1.0000000000e+00
        51   -1.0452060833e+01    3.2009379981e-01    6.3998678388e+01    6.4000000000e+01    0.0000000000e+00   -1.0458369554e+01    9.9629808784e-01    1.0000000000e+00
        52   -1.0420665987e+01    2.9881604349e-01    6.5997427827e+01    6.6000000000e+01    0.0000000000e+00   -1.0455018010e+01    1.0000000000e+00    1.0000000000e+00
        53   -1.0469019140e+01    2.3397260242e-01    6.5990076362e+01    6.6000000000e+01    0.0000000000e+00   -1.0474313788e+01    1.0000000000e+00    1.0000000000e+00
        54   -1.0465201460e+01    2.8878259341e-01    6.5995372085e+01    6.6000000000e+01    0.0000000000e+00   -1.0480561901e+01    9.9727449454e-01    1.0000000000e+00
        55   -1.0342103855e+01    7.0317905387e-01    6.5973354758e+01    6.6000000000e+01    0.0000000000e+00   -1.0483694318e+01    9.9943860564e-01    1.0000000000e+00
        56   -1.0439382325e+01    4.8283673496e-01    6.5975202415e+01    6.6000000000e+01    0.0000000000e+00   -1.0464879155e+01    9.9845057288e-01    1.0000000000e+00
        57   -1.0464875152e+01    3.6376815699e-01    6.5995202647e+01    6.6000000000e+01    0.0000000000e+00   -1.0465603023e+01    1.0000000000e+00    1.0000000000e+00
        58   -1.0447435381e+01    4.2011777334e-01    6.5995287995e+01    6.6000000000e+01    0.0000000000e+00   -1.0469614624e+01    9.9613004557e-01    9.8484848485e-01
        59   -1.0492730397e+01    2.7324262195e-01    6.5000199440e+01    6.5000000000e+01    0.0000000000e+00   -1.0470562553e+01    9.9493378768e-01    1.0000000000e+00
        60   -1.0506084461e+01    2.8179530661e-01    6.5012335196e+01    6.5000000000e+01    0.0000000000e+00   -1.0460656357e+01    9.9354203237e-01    1.0000000000e+00
        61   -1.0569292556e+01    2.9068935649e-01    6.5022918028e+01    6.5000000000e+01    0.0000000000e+00   -1.0466382621e+01    1.0000000000e+00    1.0000000000e+00
        62   -1.0612770083e+01    2.7968663956e-01    6.5036958888e+01    6.5000000000e+01    0.0000000000e+00   -1.0476429046e+01    9.9878127886e-01    1.0000000000e+00
        63   -1.0639949677e+01    3.0408852565e-01    6.5044547347e+01    6.5000000000e+01    0.0000000000e+00   -1.0488352479e+01    9.9766031310e-01    1.0000000000e+00
        64   -1.0611800886e+01    4.4939256398e-01    6.5040427844e+01    6.5000000000e+01    0.0000000000e+00   -1.0500445567e+01    1.0000000000e+00    1.0000000000e+00
        65   -1.0523393515e+01    5.7575415367e-01    6.5018711806e+01    6.5000000000e+01    0.0000000000e+00   -1.0508885205e+01    9.8814258732e-01    1.0000000000e+00
        66   -1.0395951898e+01    4.9315770716e-01    6.4983168879e+01    6.5000000000e+01    0.0000000000e+00   -1.0510465906e+01    1.0000000000e+00    1.0000000000e+00
        67   -1.0391346640e+01    4.7190656425e-01    6.4963814629e+01    6.5000000000e+01    0.0000000000e+00   -1.0504111924e+01    9.9616852496e-01    1.0000000000e+00
        68   -1.0490763547e+01    3.8063562630e-01    6.4981060452e+01    6.5000000000e+01    0.0000000000e+00   -1.0498396263e+01    1.0000000000e+00    1.0000000000e+00
        69   -1.0425587101e+01    3.9969195678e-01    6.4986521530e+01    6.5000000000e+01    0.0000000000e+00   -1.0499046676e+01    1.0000000000e+00    1.0000000000e+00
        70   -1.0443106634e+01    4.2447374282e-01    6.4979646541e+01    6.5000000000e+01    0.0000000000e+00   -1.0496218373e+01    9.9588139045e-01    1.0000000000e+00
        71   -1.0454363729e+01    2.8121655787e-01    6.4984940349e+01    6.5000000000e+01    0.0000000000e+00   -1.0494311865e+01    9.8857417742e-01    1.0000000000e+00
        72   -1.0488454193e+01    5.0951662565e-01    6.4992630861e+01    6.5000000000e+01    0.0000000000e+00   -1.0493268007e+01    9.9845492035e-01    1.0000000000e+00
        73   -1.0426677699e+01    3.1578167668e-01    6.4987945456e+01    6.5000000000e+01    0.0000000000e+00   -1.0493841067e+01    1.0000000000e+00    1.0000000000e+00
        74   -1.0458522627e+01    3.0875519933e-01    6.4983857325e+01    6.5000000000e+01    0.0000000000e+00   -1.0491611783e+01    1.0000000000e+00    1.0000000000e+00
        75   -1.0468337222e+01    4.1214557089e-01    6.4990870105e+01    6.5000000000e+01    0.0000000000e+00   -1.0490838057e+01    1.0000000000e+00    1.0000000000e+00
        76   -1.0540616060e+01    3.8755260458e-01    6.5004186213e+01    6.5000000000e+01    0.0000000000e+00   -1.0490667312e+01    9.9662129274e-01    1.0000000000e+00
        77   -1.0586367984e+01    3.3913327031e-01    6.5022473800e+01    6.5000000000e+01    0.0000000000e+00   -1.0493291163e+01    9.9259947499e-01    1.0000000000e+00
        78   -1.0584446225e+01    2.4492252851e-01    6.5028273851e+01    6.5000000000e+01    0.0000000000e+00   -1.0497452646e+01    9.8992070686e-01    1.0000000000e+00
        79   -1.0513000591e+01    2.9753599386e-01    6.5015236760e+01    6.5000000000e+01    0.0000000000e+00   -1.0501088169e+01    9.9808463433e-01    1.0000000000e+00
